iter	MultiClass	Accuracy
0	0.9851494992	0.67375
1	0.8650782458	0.6833333333
2	0.7788960339	0.7022916667
3	0.7407977161	0.71125
4	0.695923947	0.7179166667
5	0.6735641714	0.7258333333
6	0.6559953264	0.7291666667
7	0.6464395039	0.7325
8	0.6287382275	0.7479166667
9	0.6199914036	0.7525
10	0.6089195399	0.7583333333
11	0.5948170746	0.7622916667
12	0.5840349683	0.7675
13	0.5707245094	0.77375
14	0.5638050276	0.7745833333
15	0.5583372066	0.7764583333
16	0.5452268366	0.785
17	0.5344609271	0.7966666667
18	0.5270879452	0.7989583333
19	0.5217162749	0.8016666667
20	0.5164622529	0.8047916667
21	0.5071205267	0.80625
22	0.503187085	0.806875
23	0.4989479777	0.80875
24	0.4924258177	0.8141666667
25	0.4838972225	0.8225
26	0.4733317801	0.8291666667
27	0.4660746256	0.831875
28	0.4564199622	0.8354166667
29	0.4490459305	0.8389583333
30	0.4435456969	0.84375
31	0.4376690434	0.845625
32	0.4357297496	0.84625
33	0.4279908877	0.8504166667
34	0.422839826	0.8541666667
35	0.4172770053	0.8558333333
36	0.4140901284	0.8575
37	0.4082404035	0.8597916667
38	0.4023744356	0.861875
39	0.3967358478	0.86375
40	0.3937590961	0.8664583333
41	0.3902050136	0.86875
42	0.3881172791	0.8697916667
43	0.3854527116	0.8695833333
44	0.3825933651	0.8714583333
45	0.3796287013	0.8741666667
46	0.3747431783	0.8795833333
47	0.3724101385	0.881875
48	0.3709047174	0.8825
49	0.3685797936	0.884375
